pdb_id,cid
5M8R,5280666
3TJM,5280666
5UEN,5280666
6Q20,5280666
2HI4,5280666
2HDA,5280666
1QIB,5280666
2F25,5280666
2F2C,5280666
1XV8,5280666
1G3N,5280666
2HW6,5280666
6UZ8,5280666
8BHT,5280666
3BT0,5280666
2ZNP,5280666
3QCB,5280666
3B7T,5280666
3DWW,5280666
5UKE,5280666
2WID,5280666
2KES,5280666
5WWW,5280666
4JLG,5280666
1YJ6,5280666
4ZZY,5280666
2VCY,5280666
8EF5,5280666
6HBU,5280666
3IR3,5280666
5MSB,5280666
2POJ,5280666
2B9R,5280666
2CAB,5280666
1SLM,5280666
5NN5,5280666
2LEO,5280666
4Q0L,5280666
7D3E,5280666
3GNI,5280666
4M6N,5280666
4F7N,5280666
5YZ5,5280666
5VAR,5280666
5YR7,5280666
4BC5,5280666
4XZ0,5280666
6NB3,5280666
3TEG,5280666
6B19,5280666
2KTB,5280666
4W9N,5280666
1QIP,5280666
5N2R,5280666
8D43,5280666
1H7U,5280666
4CDE,5280666
4RWA,5280666
5C3Z,5280666
4I5X,5280666
2JFD,5280666
1Z9E,5280666
5DHG,5280666
1BQO,5280666
5TPT,5280666
3LXE,5280666
3CBJ,5280666
3FVY,5280666
2WPI,157395
5LIH,157395
7TPQ,157395
6C6P,157395
3P56,1203
1N8S,1203
3DWW,1203
3DA2,1203
2J8T,1203
3LXE,1203
2JFD,1203
1PQ3,1203
3FW3,1203
1M9R,1203
5L60,1203
7TPQ,1203
1TZN,1203
4JGD,1203
5UDY,1203
2CAB,1203
2KES,1203
5V6A,1203
2GLQ,1203
1KN0,1203
6C5Z,1203
2OHM,1203
4Q0L,1203
1ZED,1203
6QNG,1203
6FE2,1203
6C0V,1203
7KJW,1203
6KPC,1203
5MSB,1203
2VCY,1203
8D43,1203
7B7U,1203
2WAJ,1203
4PXX,1203
5AUW,1203
4DYO,1203
3TON,1203
6Q6Q,1203
3LPO,1203
1BY8,1203
2JKV,1203
4W9N,1203
6Q9T,1203
2F25,1203
5LIH,1203
1O0L,1203
4M6N,1203
6Q20,1203
4TMF,1203
2FW4,1203
2CS5,11776892
3RZE,5281600
3U8H,5281600
2XV7,5281600
4ZZY,5281600
1NUS,5281600
7E2Z,5281600
7BTS,5281600
6Q6Q,5281600
5V6A,5281600
2OHM,5281600
7WKZ,5281600
1YK8,5281600
5TPT,5281600
5FTJ,5281600
5FDO,5281600
2A3R,5281600
1BQO,5281600
2CS5,5281600
2ZKM,5281600
6KUW,5281600
5IXC,5281600
6BQG,5281600
1SLM,5281600
7E32,5281600
5WIV,5281600
4IAQ,5281600
6B73,5281600
6WJC,5281600
8EA0,5281600
6OL9,5281600
7W6P,5281600
7UM4,5281600
2QMZ,5281600
4RWA,5281600
6D6U,5281600
1QIB,5281600
7B6W,5281600
7R0C,5281600
8EF5,5281600
6B19,5281600
7BB6,5281600
1BML,5281600
5WZM,5281600
7EU8,5281600
6K41,5281600
3HCD,5281600
7QNA,5281600
5ABW,5281600
5DSG,5281600
3UON,5281600
1FZV,5281600
6XBZ,5281600
3B7T,5281600
1QIB,1990
2CAB,1990
3C0Z,1990
7PPZ,1990
3G5K,1990
1SLM,1990
6ACL,1990
5NKS,1990
4M6N,1990
4RTA,1990
2ZZC,6780
2WGP,6780
2Q7M,6780
3OP3,6780
6BY9,6780
6MM1,6780
3EQM,119034
5NN5,119034
2CS5,119034
1MX1,119034
1Z8D,119034
3G4L,119034
4I5X,119034
8D3F,119034
3DWW,119034
5ABW,119034
5OVR,119034
2LEO,119034
1HNY,119034
7LAF,119034
1YTV,119034
7LBG,119034
7CFM,119034
6D4D,119034
7B7U,119034
3LPO,119034
6B19,119034
2J8T,119034
7LEU,119034
2JOD,119034
7MHY,119034
3OP3,119034
2WID,119034
4C2J,119034
1MX5,119034
6L47,119034
1JY1,119034
5WZM,119034
1BHG,119034
1N8S,119034
1O1V,119034
1YCI,119034
1FC0,119034
5CR1,119034
1X9N,119034
5I8H,119034
5X8S,119034
5V1B,119034
3C9E,119034
7MTA,119034
6NB3,119034
1IOX,119034
5EYZ,119034
3BZU,119034
3QCB,119034
5E5R,119034
3LII,119034
1G8Q,119034
2B3X,119034
2WGP,119034
6KEY,119034
2JFD,119034
1N28,119034
2ZNP,119034
4PHC,119034
1BBC,119034
6ML8,119034
6Q6Q,119034
5PNT,119034
6MTW,119034
2OBD,119034
6IIL,119034
6VN2,119034
6TPK,119034
6FE2,13250
2FW4,13250
2CAB,13250
1A5H,13250
1TZN,13250
5AKV,13250
5MSB,13250
6Q9T,13250
6Q6Q,13250
4J24,13250
6AT6,13250
2ARQ,13250
4LA0,13250
2I9A,13250
8D43,13250
6C6P,13250
7TRO,13250
5EJK,13250
6TA3,637511
5AKV,637511
7LAF,637511
3DWW,637511
6BO8,637511
6D7T,637511
6Q6Q,637511
2ZZC,10207
3DWW,10207
7PLS,10207
3LII,10207
7JWS,10207
2WID,10207
4NTJ,10207
5ABW,10207
6CO4,10207
7RB3,10207
3BT0,10207
4C4Y,10207
5UDY,10207
2Q7M,10207
5JVS,10207
4IE6,10207
2A3K,10207
1ZED,10207
2F25,10207
2GLQ,10207
1YK8,10207
5V6A,10207
1UYM,10207
5J1F,10207
1G3N,10207
5WWW,10207
6BO8,9017
6D7T,9017
7CE4,5281607
6Q20,5281607
3PM0,5281607
4TMF,5281607
3T9C,5281607
5L60,5281607
5AUW,5281607
3DWW,5281607
6WC5,5281607
2F25,5281607
1OJ9,5281607
1BHG,5281607
4BYI,5281607
2WAJ,5281607
4E2I,5281607
1XQZ,5281607
4ZZY,5281607
2FW4,5281607
4I8V,5281607
5J8R,5281607
3EQM,5281607
3LPO,5281607
2B9R,5281607
2HW6,5281607
1G3N,5281607
6OHU,5281607
6FE2,5281607
5W2I,5281607
5V6A,5281607
1XV8,5281607
5X02,5281607
2W2I,5281607
6C0V,5281607
1REX,5281607
2IIM,5281607
5BXJ,5281607
2CAB,5281607
1BHS,5281607
1QF8,5281607
2R4H,5281607
6NOW,5281607
2AFW,5281607
2CLT,5281607
6B19,5281607
5HI7,5281607
3D3L,5281607
7B5O,5281607
7LAF,5281607
8BHT,5281607
3QCB,5281607
6UZ8,5281607
2OHM,5281607
3FVY,5281607
3BT0,5281607
2QMZ,5281607
2J8T,5281607
5DHG,5281607
2ACX,5281607
2CS5,5281607
5EJK,5281607
7SJT,5281607
7KSR,5281607
3LXE,5281607
5MSB,5281607
4J24,5281607
2WID,5281607
2LEO,5281607
6Q6Q,5281607
1K4T,5281607
5AKV,5281607
966C,5281607
7WFC,5281607
1R42,5281607
3LII,5281607
1H7U,5281607
5ABW,5281607
2VCY,5281607
1IOX,5281607
2HI4,5281607
5M8R,5281607
3TJM,5281607
